Average: 16, Resolution: 10, Conversion speed: ADACK_20, Sampling speed: HIGH_SPEED. Time: 23.80 us. Value: 0.627566
Average: 16, Resolution: 10, Conversion speed: ADACK_20, Sampling speed: HIGH_VERY_HIGH_SPEED. Time: 22.14 us. Value: 0.627566
Average: 16, Resolution: 10, Conversion speed: ADACK_20, Sampling speed: VERY_HIGH_SPEED. Time: 20.48 us. Value: 0.627566

Average: 32, Resolution: 10, Conversion speed: LOW_SPEED, Sampling speed: VERY_LOW_SPEED. Time: 157.76 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: LOW_SPEED, Sampling speed: LOW_SPEED. Time: 144.14 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: LOW_SPEED, Sampling speed: LOW_MED_SPEED. Time: 130.46 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: LOW_SPEED, Sampling speed: MED_SPEED. Time: 116.82 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: LOW_SPEED, Sampling speed: MED_HIGH_SPEED. Time: 103.16 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: LOW_SPEED, Sampling speed: HIGH_SPEED. Time: 96.33 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: LOW_SPEED, Sampling speed: HIGH_VERY_HIGH_SPEED. Time: 89.50 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: LOW_SPEED, Sampling speed: VERY_HIGH_SPEED. Time: 82.68 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: MED_SPEED, Sampling speed: VERY_LOW_SPEED. Time: 79.08 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: MED_SPEED, Sampling speed: LOW_SPEED. Time: 72.25 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: MED_SPEED, Sampling speed: LOW_MED_SPEED. Time: 65.41 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: MED_SPEED, Sampling speed: MED_SPEED. Time: 58.59 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: MED_SPEED, Sampling speed: MED_HIGH_SPEED. Time: 51.76 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: MED_SPEED, Sampling speed: HIGH_SPEED. Time: 48.34 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: MED_SPEED, Sampling speed: HIGH_VERY_HIGH_SPEED. Time: 44.96 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: MED_SPEED, Sampling speed: VERY_HIGH_SPEED. Time: 41.53 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: HIGH_SPEED, Sampling speed: VERY_LOW_SPEED. Time: 39.72 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: HIGH_SPEED, Sampling speed: LOW_SPEED. Time: 36.30 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: HIGH_SPEED, Sampling speed: LOW_MED_SPEED. Time: 32.89 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: HIGH_SPEED, Sampling speed: MED_SPEED. Time: 29.46 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: HIGH_SPEED, Sampling speed: MED_HIGH_SPEED. Time: 26.06 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: HIGH_SPEED, Sampling speed: HIGH_SPEED. Time: 24.36 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: HIGH_SPEED, Sampling speed: HIGH_VERY_HIGH_SPEED. Time: 22.66 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: HIGH_SPEED, Sampling speed: VERY_HIGH_SPEED. Time: 20.93 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: ADACK_10, Sampling speed: VERY_LOW_SPEED. Time: 146.10 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: ADACK_10, Sampling speed: LOW_SPEED. Time: 133.44 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: ADACK_10, Sampling speed: LOW_MED_SPEED. Time: 120.83 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: ADACK_10, Sampling speed: MED_SPEED. Time: 108.17 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: ADACK_10, Sampling speed: MED_HIGH_SPEED. Time: 95.55 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: ADACK_10, Sampling speed: HIGH_SPEED. Time: 89.24 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: ADACK_10, Sampling speed: HIGH_VERY_HIGH_SPEED. Time: 82.89 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: ADACK_10, Sampling speed: VERY_HIGH_SPEED. Time: 76.56 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: ADACK_20, Sampling speed: VERY_LOW_SPEED. Time: 76.93 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: ADACK_20, Sampling speed: LOW_SPEED. Time: 70.28 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: ADACK_20, Sampling speed: LOW_MED_SPEED. Time: 63.66 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: ADACK_20, Sampling speed: MED_SPEED. Time: 57.00 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: ADACK_20, Sampling speed: MED_HIGH_SPEED. Time: 50.35 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: ADACK_20, Sampling speed: HIGH_SPEED. Time: 47.05 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: ADACK_20, Sampling speed: HIGH_VERY_HIGH_SPEED. Time: 43.73 us. Value: 0.627566
Average: 32, Resolution: 10, Conversion speed: ADACK_20, Sampling speed: VERY_HIGH_SPEED. Time: 40.41 us. Value: 0.627566
